Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
5634     5634     modprobe         12           7500         1400  81.33%
723      723      kworker/u80:6    13          15500        11800  23.87%
2440     2518     QXcbEventQueue   16           1800          900  50.00%
5616     5616     nvidia-modprobe  18           1200         1700   0.00%
3222     3251     QXcbEventQueue   18            800          100  87.50%
2439     2439     kalendarac       12           1200         1000  16.67%
83       83       ksoftirqd/14     14           4800         2800  41.67%
3223     3247     QXcbEventQueue   0            7000         1200  82.86%
3229     3271     QXcbEventQueue   13           4900         1600  67.35%
5621     5621     nvidia-modprobe  0           11500          200  98.26%
5612     5612     nvidia-modprobe  6           21400         2300  89.25%
1617     1617     Xorg             5            6900         7700   0.00%
5612     5612     nvidia-modprobe  18          31400        25600  18.47%
5628     5628     kworker/0:3      0            1400          100  92.86%
5606     5606     python           4           22200        12800  42.34%
2743     2749     QXcbEventQueue   12           2300         1300  43.48%
0        0        swapper/6        6          276600        13000  95.30%
3482     3482     firefox          2            4900        21900   0.00%
2743     2743     akonadi_control  12           3300          800  75.76%
2743     2749     QXcbEventQueue   18           3200          400  87.50%
2349     2349     xfce4-panel      2            7900        12400   0.00%
5637     5637     modprobe         12          10200          900  91.18%
1617     1617     Xorg             19          76900        59000  23.28%
132      132      migration/3      3            1700          500  70.59%
1617     1819     InputThread      6           34900        10400  70.20%
3222     3222     akonadi_birthda  0             700            0 100.00%
5600     5600     vkcube           2          305200       203300  33.39%
3221     3221     akonadi_akonote  0             800          400  50.00%
136      136      rcuop/3          14           4800         2800  41.67%
5648     5648     nvidia-modprobe  13           4000          500  87.50%
2273     2273     xfwm4            18           2000          100  95.00%
3225     3237     QXcbEventQueue   11           4000          700  82.50%
97       97       migration/16     16          13000         1800  86.15%
723      723      kworker/u80:6    15           2600          800  69.23%
2273     2273     xfwm4            17           5400         1100  79.63%
3225     3237     QXcbEventQueue   17           1700          100  94.12%
3225     3237     QXcbEventQueue   14           1600         1700   0.00%
3703     3734     Timer            13           2100          800  61.90%
2752     2752     bamfdaemon       8           12300        12900   0.00%
994      994      kworker/u80:11   13         115600        94300  18.43%
2273     2273     xfwm4            6          172200        42500  75.32%
1617     1617     Xorg             0          501500       219000  56.33%
157      157      rcuop/9          19           1600          500  68.75%
2743     2749     QXcbEventQueue   16           1500          600  60.00%
2442     2442     xfce4-power-man  15           3200         2300  28.12%
5613     5613     nvidia-modprobe  12          11500         4700  59.13%
4520     4520     kworker/u81:2    16          98200        59500  39.41%
2074     2074     xfce4-session    2            3200          800  75.00%
5665     5665     sh               12           6900         7500   0.00%
2439     2587     QXcbEventQueue   18           1900          600  68.42%
3223     3247     QXcbEventQueue   12           2400          900  62.50%
89       89       migration/15     15           6300         1100  82.54%
5626     5626     sh               17          12200         1100  90.98%
2273     2273     xfwm4            15          49500        11300  77.17%
1617     1617     Xorg             2          149200        84400  43.43%
3703     3703     Isolated Web Co  14           3100         1800  41.94%
5498     5498     kworker/19:2     19            800          200  75.00%
920      920      kworker/u80:10   16           4000          800  80.00%
2251     2251     at-spi2-registr  12            700         3900   0.00%
5638     5638     nvidia-modprobe  18          40400        23800  41.09%
2625     5629     pool-plank       18           5000         1700  66.00%
3221     3221     akonadi_akonote  18           2200         1500  31.82%
5640     5640     modprobe         16          10200         4600  54.90%
1528     1539     usbmuxd          0             800          400  50.00%
2438     2438     xfce4-terminal   5           34500        30700  11.01%
129      129      rcuop/1          13           1700          300  82.35%
1617     1617     Xorg             4          364800       175800  51.81%
0        0        swapper/9        9           16400         4500  72.56%
2349     2349     xfce4-panel      0            5000         8300   0.00%
2440     2440     kgpg             14           1500          200  86.67%
2625     2625     plank            15           1100          100  90.91%
2863     2863     gpg-agent        2            4400         2900  34.09%
2349     2349     xfce4-panel      7            2200         7000   0.00%
3221     3221     akonadi_akonote  14           8600         5400  37.21%
5638     5638     nvidia-modprobe  0           10400         1900  81.73%
2061     2061     dbus-broker      2            4800         3100  35.42%
2752     2752     bamfdaemon       13           3400         3900   0.00%
2625     2625     plank            13          45700        35600  22.10%
3185     3185     kworker/u80:14   16           4100         1900  53.66%
5623     5623     sh               17          12100          700  94.21%
3573     3585     IPC I/O Child    16           5100         1700  66.67%
3820     5643     StreamTrans #36  12          12700         4000  68.50%
2625     2670     gdbus            0           35700         4900  86.27%
2273     2273     xfwm4            14           9700         3000  69.07%
84       84       kworker/14:0     14          26900        13600  49.44%
4270     4270     kworker/19:0     19          45100        21300  52.77%
2669     2669     evolution-alarm  6            2400         1900  20.83%
1617     1819     InputThread      2          203100        17300  91.48%
2625     2625     plank            8            7900        19000   0.00%
3224     3236     QXcbEventQueue   19           1100          400  63.64%
3820     3825     IPC I/O Child    18           4700         1800  61.70%
2273     2273     xfwm4            2          118800        28700  75.84%
920      920      kworker/u80:10   12          40500        14600  63.95%
5647     5647     false            17           3600         2600  27.78%
5635     5635     nvidia-modprobe  4            5500          800  85.45%
3227     3227     akonadi_maildis  18           2000         2600   0.00%
160      160      migration/11     11           3500          600  82.86%
174      174      khugepaged       19         357000       206300  42.21%
5647     5647     sh               4           21100        15800  25.12%
1617     1617     Xorg             13          72600        28800  60.33%
1226     1226     irq/198-iwlwifi  13           7100         4700  33.80%
4520     4520     kworker/u81:2    17          13400         9200  31.34%
2743     2749     QXcbEventQueue   1            3100          800  74.19%
172      172      kcompactd0       0           17600         1500  91.48%
5626     5626     sh               14          21100        21700   0.00%
5624     5624     vkcube           12           1200          100  91.67%
3482     3482     firefox          8            4300          700  83.72%
